review,sentiment
"I am so happy and surprised that there is so much interest in this movie! Jack Frost was my introduction into the films produced and distributed by A-pix entertainment, and without exception, everything this company deals with is pure crap! First, and this is very important, never ever watch this movie sober! Why would you? Unlike many other entertaingly bad movies, this one I feel was made intentionally bad. I just can't get over how fake the snowman is, which is why its always shown only briefly, the way it moves is the best! This movie is Waaaaaaaaaaay better than the Michael Keaton piece of crap, becuz that was made too be a good movie, and that version is as bad as this.",negative
"I caught this film on AZN on cable. It sounded like it would be a good film, a Japanese ""Green Card"". I can't say I've ever disliked an Asian film, quite the contrary. Some of the most incredible horror films of all time are Japanese and Korean, and I am a HUGE fan of John Woo's Hong Kong films. I an not adverse to a light hearted films, like Tampopo or Chung King Express (two of my favourites), so I thought I would like this. Well, I would rather slit my wrists and drink my own blood than watch this laborious, badly acted film ever again.<br /><br />I think the director Steven Okazaki must have spiked the water with Quaalude, because no one in this film had a personality. And when any of the characters DID try to act, as opposed to mumbling a line or two, their performance came across as forced and incredibly fake. I honestly did not think that anyone had ever acted before...the ONLY person who sounded genuine was Brenda Aoki.. I find it amazing that this is promoted as a comedy, because I didn't laugh once. Even MORE surprising is that CBS morning news called this ""a refreshing breath of comedy"". It was neither refreshing, nor a breath of comedy. And the ending was very predictable, the previous reviewer must be an idiot to think such things.<br /><br />AVOID this film unless you want to see a boring predictable plot line and wooden acting. I actually think that ""Spike of Bensonhurst"" is a better acted film than this...and I walked out half way through that film!",negative
"Before I begin, let me get something off my chest: I'm a huge fan of John Eyres' first film PROJECT: SHADOWCHASER. The film, a B-grade cross of both THE TERMINATOR & DIE HARD, may not be the work of a cinematic genius, but is a hugely entertaining action film that became a cult hit (& spawned two sequels & a spin off).<br /><br />Judge and Jury begins with Joseph Meeker, a convicted killer who was sent to Death Row following his capture after the so-called ""Bloody Shootout"" (which seems like a poor name for a killing spree  Meeker kills three people while trying to rob a convenience store), being led to the electric chair. There is an amusing scene where Meeker talks to the priest about living for sex but meeting his one true love (who was killed during the shootout), expressing his revenge for the person who killed her  Michael Silvano, a washed-up football star who spends his days watching his son Alex practicing football with his high school team (and ends up harassing his son's coach). But once executed, Meeker returns as a revenant (or as Kelly Perine calls ""a hamburger without the fries""), whose sole aim is to get his revenge, which basically means making Silvano's life a misery.<br /><br />Let me point out the fact that Judge and Jury is not a true horror film. It is a supernatural action film, with Meeker chasing Silvano, using his ability to change form (which amounts to David Keith dressing up as everything from an Elvis impersonator, a French chef (with an accent as bad as his moustache), a drag queen, a clown & a stand-up comedian), a shotgun which fires explosive rounds & an invulnerability to death (although that doesn't stop Martin Kove from shooting Keith with a Desert Eagle), to pay Silvano back for killing Meeker's wife.<br /><br />Director John Eyres does not seem interested in characterisations, instead focusing solely on action scenes, which the film has plenty of. But that is the film's main flaw, since there's nothing to connect the action scenes together. The acting is surprisingly good, with Keith delivering the best performance, supported ably by Kove, as well as Paul Koslo, who plays the washed-up cop quite well. Kelly Perine is annoying as the cabbie who tries to help but makes the situation worse.",negative
"I remember seeing this film in the theater in 1984 when I was 6 years-old (you do the math). I absolutely loved it. I was Tarzan for the 2 weeks after seeing it (climbing the furniture, jumping around making monkey sounds). It started a fascination with Tarzan and monkeys, but oddly enough a longer lasting love for Christopher Lambert (keep in mind that I saw Highlander very shortly after this). 1984 was the last time I saw that film, until about a month ago. It happened to be on cable as I was getting ready for bed at 3:30 am and even though it was late and I was tired and I had to be at work at 9:00 am, I stayed up to watch this movie that I loved as a kid. <br /><br />Upon viewing it I realized that it was not that great of a film and even odder then that, that Andie MacDowell's voice was dubbed by someone else. Ian Holme was of course solid as usual, and surprisingly the monkey suits still kind of held up, but what was most surprising was how good Lambert was as Tarzan. He was great! The depth he managed to capture in so few lines, his primal body language and most importantly his ability to bring this character through its extremely large ark, were just amazing.<br /><br />As I stated earlier I am Lambert fan, but I'm used to Highlander, The Hunted and Fortress. In this film he was really quite good and it is a shame that he never got a chance to portray a character with such depth again.<br /><br />So to make a short story way too long, I was a little disappointed that the film was not that good, but I was glad to see that Lambert was good and I do not regret staying up until 6:00am to see it.",positive
"The buzz for this film has always been about the fabulous graphics that make Kevin Bacon disappear. Sadly, they stopped there. They should have continued to make the script disappear, then the silly set, and finally every visible element of this film. Because, there's nothing else there to show.<br /><br />Gary Thompson and Andrew Marlowe are listed as the writing credits for this film. I don't really think they exist. I think they bought this script at ""Scripts-R-Us"", where you buy a standard blank ""Monster Movie"" script and just fill in the blanks. There's a monster stalking us. Let's split up. (They actually ""let's split up"" in this movie). Hit Alien/Giant-bug/Monster/Invisible-man with crowbar. Not dead yet. Burn Huge-rabbit/Shark/Invisible-man in unsurvivable fire. Not dead yet. You know, the standard stuff. Even the minimum number of elements that were specific to an invisible man movie (IR glasses, spraying with something like paint) were handled badly. <br /><br />What is sad is that there were lots of possibilities for this to be a fascinating movie. They psychological issues for the subject, the deterioration of the mind due to the process, treating an invisible subject, and many other ideas were touched on for usually less than 2 seconds and would have been far more interesting. Had there been any desire to save Kevin Bacon in the end, it would have been a much better movie. All in all, it stunk.<br /><br />I would mention some of the incredibly stupid elements of the ending of the movie, but I don't want to do any spoilers. Suffice it to say that these characters are so stupid they don't think about pulling the plug on a machine rather than...",negative
"I can't believe it that was the worst movie i have ever seen in my life. i laughed a couple of times. ( probably because of how stupid it was ) If someone paid me to see that movie again i wouldn't. the plot was so horrible , it made no sense , and the acting was so bad that i couldn't even tell if they were trying. that movie was terrible rating: F",negative
"Is nothing else on TV? Are you really bored? Well, then watch Phat Beach. However, don't rent it and definitely DO NOT buy it. That would be a big mistake.<br /><br />I watched this on TV and found myself laughing at certain points. I did not laugh long and I did not laugh hard. However, there were subtle jokes and comments I laughed at. If you are looking for an extremely funny ""hood"" movie then watch Friday. If you are looking for a powerful emotional movie (something that this movie tries at..kind of) watch something like hoop dreams or Jason's Lyric. If you are lookin for some good black ""booty"" go watch a Dominique Simone porn flick, because the nudity in this movie is nearly non-existent. However, if you have nothing better to do and this is on cable, go ahead and watch it. You will be slightly amused.<br /><br />***3 out of 10***",negative
"An unforgettable masterpiece from the creator of The Secret of Nimh and The Land Before Time, this was a very touching bittersweet cartoon. I remember this very well from my childhood, it was funny and sad and very beautiful. Well it starts out a bit dark, a dog who escaped the pound, and gets killed by an old friend, ends up in Heaven, and comes back. But it becomes sweet when he befriends an orphaned girl who can talk to animals. Some scenes were a bit scary contrary to other cartoons, like the dream sequence of Charlie, but everything else was okay,and the songs were fair. A memorable role of Burt Reynolds and Dom DeLuise, I just love that guy, ahehehe. And Judith Barsi of Jaws The Revenge, may God rest her soul, poor girl, she didn't deserve to die, but she is in Heaven now, all good people go to Heaven. Overall this is a very good animated movie, a Don Bluth classic enough to put anime and Disney to shame. Recommended for the whole family. And know this, if you have the original video of this, you'll find after the movie, Dom DeLuise has a very important and special message, gotta love that guy, ahehehe.",positive
"It is so gratifying to see one great piece of art converted into another without distortion or contrivance. I had no guess as to how such an extraordinary piece of literature could be recreated as a film worth seeing. If you loved Bulgakov's book you would be, understandably, afraid of seeing some misguided interpretation done more for the sake of an art-film project than for actually bringing the story's deeper meaning to the screen. There are a couple examples of this with the Master and Margarita. As complex and far-fetched as the story is, the movie leaves out nothing. It is as if the filmmaker read Bulgakov's work the same way an orchestral conductor reads a score--with not a note missed. Why can't we find such talent here in the U.S. ? So now my favorite book and movie have the same title.",positive
"A very ordinary made-for-tv product, ""Tyson"" attempts to be a serious biopic while stretching the moments of angst for effect, fast forwarding through the esoterics of the corrupt sport of boxing, and muddling the sensationalistic stuff which is the only thing which makes Tyson even remotely interesting. A lukewarm watch at best which more likely to appeal to the general public than to boxing fans.",negative
"Nifty little episode played mainly for laughs, but with clever dollop of suspense. Somehow a Martian has snuck aboard a broken-down bus on its way to nowhere, but which passenger is it, (talk about your illegal immigrants!). All-star supporting cast, from wild-eyed Jack Elam (hamming it up shamelessly), to sexy Jean Willes (if she's the Martian, then I say let's open the borders!), to cruel-faced John Hoyt (the most obvious suspect), along with familiar faces John Archer and Barney Phillips (and a nice turn from Bill Kendis as the bus driver). Makes for a very entertaining half-hour even if the action is confined to a single set.",positive
"Scotty (Grant Cramer, who would go on to star in the great B-movie ""Killer Klowns from outer space"") agrees to help three middle-aged guys learn how to 'dialog' the ladies in this bad '80's comedy. Not bad as in '80's lingo, which meant good. Bad as in bad. With no likable characters, including, but not limited to, a kid who's the freakiest looking guy since ""Friday the 13th part 2""' a girl who leads men on and then goes into hissy fits when they want to touch her, and the token fat slob, because after all what would an '80's sex comedy be without a fat slob?? Well this one has two. This movie is pretty much the bottom of the barrel of '80's sex comedies. And then came the sequel thus deepening said proverbial barrel.<br /><br />My Grade:D- <br /><br />Eye Candy: too numerous to count, you even see the freaky looking kid imagined with boobs at on point, think ""Bachlor Party"" but not as funny, and VERY disturbing.<br /><br />Where I saw it: Comcast Moviepass",negative
"Any film about WWII made during WWII by a British production company has no latter-day peer in my opinion, respectfully. The confluence of so many things near and dear to my heart are in At Dawn We Dive: as a descendant of Admiral Horatio Nelson and student of all aspects of World War Two and particularly naval warfare, I favor depictions of subs and action in the North Atlantic and especially those which include the German side of things. For those unacquainted with target priorities, an attack on an enemy warship is the greatest event that a submarine can hope to encounter and such a rare opportunity would develop surprisingly similarly to what we see here. The pacing is deliberate and typical of the works coming out of the Ealing, Rank and British-Gaumont studios back in the day: frankly I prefer its quieter, more cerebral approach for its humanity and realism that engages far better than any over-produced Hollywood movie ever could. This reminds me of Powell and Pressburger's The 49th Parallel thanks to the powerfully persuasive Eric Portman, a favorite of mine. John Mills receives second billing and a smaller font in the titles, so this is clearly meant to be Mr. Portman's film but the whole cast shines. As for the title sequence, am I the only one who is utterly charmed by Gainsborough Production's lovely pre-CGI Gainsborough Girl?",positive
"I just started watching The Show around July. I found it by mistake, I was channel surfing during a Vacation. It is a great show, I just wish it wasn't on so late at night. It's on at 12:30 AM. As a working person it makes it hard to watch all the time.<br /><br />I read some comments. I did not agree with the late one about not growing up in the 60's and not believing that this stuff can happen.<br /><br />I grew up in the 60's. I'm Hispanic and I had a ""White"" boyfriend plus we had black friends in High School. I believe people get along because of their interests and personalities and it has nothing to do with being a certain race or color.<br /><br />I can't wait till the show goes on DVD so I can buy it. This way I can see it from the beginning.",positive
"This movie was terrible. The plot was terrible and unbelievable. I cannot recommend this movie. Where did this movie come from? This movie was not funny and wasted the talent of some great actors and actresses including: Gary Sinise, Kathy Bates, Joey Lauren Adams, and Jennifer Tilly.",negative
"This movie really woke me up, like it wakes up the main male character of this bravely different movie from his life slumber.<br /><br />This guy John (Ben Chaplin) leads his mediocre safe life of a bank teller in a small provincial English town, until the stunningly gorgeous, wild, girl-to-die-for Nadia (Nicole Kidman), ordered by email from Russia, enters his life to become his beloved wife, by Johns plan. However a glitch turns up - Nadia does not speak a word of Johns language. Although calm and emotionless on the outside, John becomes so interested in beautiful Nadia that instead of using the full refund policy of the matching service, he buys her a dictionary to start the communication process.<br /><br />What happens henceforth in the plot really shakes poor John from his slumber of a decently-paid safe-feeling clerk into a decision-making decently thinking action figure, giving the viewer a subliminal message ""you would have probably acted likewise"".<br /><br />Kidman, Cassel & Kassovitz make a great team acting Russians and they are almost indistinguishable from the real thing, ""almost"" only due to the slight accent present in their Russian dialogues, however slight enough to amaze a native Russian by the hard work done to get the words sound right. Nicole Kidman proves her talent once again by playing a character quite different from the previous roles, at least from the cultural background.<br /><br />The pace of the film is fast and captivating, and you certainly are not ready to quit watching when the end titles appear, you rather feel that you're in the middle of the plot, and are left with a desire to see the sequel as soon as it comes out.<br /><br />My advice is to go out and get this film immediately and watch it and enjoy. To sum it up, it has an unusual plot, great acting, and ideas below the surface. Like the idea of the ""rude awakening"" from the artificial safe routine life of a wheel in a Society's machine, the life which members of the Fight Club were so keen to quit and the machine of which Pink Floyd sings (""Welcome to the machine!""). I bet that in the end, John was rather off with Sophia on their way to the unknown than not having met her at all.<br /><br />Thank you, writers, for the great story, and everyone else for this great movie! Please make a sequel! And you can stage it whereever and name the location whatever, because the authenticity of the place is irrelevant to the 99.9999 percent of the potential viewers, I am sure of it.",positive
"Howard (Kevin Kline) teaches English at the high school in a small Indiana city. He is finally getting married to Emily (Joan Cusack), much to his parents delight. The town is abuzz, too, because one of its own, Cameron (Matt Dillon) has been nominated for an acting Oscar. Everyone, including Howard and Emily, is watching the Academy Awards on television as Cameron is declared the winner! In his acceptance speech, Cameron announces that he was able to fulfill his role as a gay military man, in part, because of lessons he learned from a gay teacher he had in high school. You guessed it, its Howard! But, Howard has never ""come out""; in fact, he believes he is straight! With the whole town, and members of the media, waiting and observing the happenings, will Howard and Emily go ahead and get married? Or, is Howard truly gay and realize he can not go through with the ceremony? This is a wonderful, funny, and humane film about a gay man and his situation. As the man-who-did-not-realize-he-was-gay, Kline is excellent and touching. The rest of the cast is equally fine, with Cusack a stitch as the mixed-up fiancé and Dillon, Bob Newhart, Debbie Reynolds, Tom Selleck, and others on hand to delight the audience as well. The costumes are very nice and the setting in the lovely Indiana heartland is beautiful. Then, too, the script, the direction, and the production are very, very nice. But, the insightful, humorous, and the thoughtful look at the gay population is the film's best asset, no doubt. For those who would be offended by a gay-themed film, yes, just skip over this one. But, for everyone who wants to laugh heartily, and gain a better understanding of the gay situation at the same time, this is definitely the best film out there.",positive
"Nice character development in a pretty cool milieu. Being a male, I'm probably not qualified to totally understand it, but they do a nice job of establishing the restrictive Victorian environment from the start. It isn't as bleak as it really was and the treatment of women was probably even harsher. What makes this go is a wonderful chemistry among the principal characters. Each has their own ""thing"" that they contend with. Once they come out of the rain and break out of the spider webs, they begin to interact and slowly lose their sense of suspicion. What I enjoyed about this movie is that it didn't go for cheap comedy when it could have. It didn't try to pound a lesson into us. The people who seem utterly without merit are really nicely developed human beings who get to see the light. I did have a little trouble with the Alfred Molina character having such an epiphany so quickly, but, within this world, it needed to happen. Good acting all around with something positive taking place in the lives of some pretty good people.",positive
"Insignificant and low-brained (haha!) 80's horror like there are thirteen in a dozen, yet it can be considered amusing if you watch it in the right state of mind. The special effects are tacky, the acting atrocious and the screenplay seems to miss a couple of essential paragraphs! ""The Brain"" takes place in a typical quiet-American town setting, where every adolescent works in the same diner and where the cool-kid in high school flushes cherry bombs down the toilet. It is here that a TV-guru named Dr. Blake and his adorable pet-brain begin their quest for nation-wide mind controlling. Under the label of ""independent thinkers"", a giant cheesy brain sends out waves through television sets and forces innocent viewers to kill! How cool is that? Now, it's up to the Meadowvale teen-rebel to save the world! The funniest thing about the plot is that it never explains where Dr. Blake and his monstrous brain actually come from. There are obvious references towards extraterrestrial life but that's about it. Meh, who needs a background in a movie like this, really? There's not that much bloodshed unfortunately and the ""evil"" brain looks like an over-sized sock-puppet. The only more or less interesting element for horror buffs is taking a look at the cast and crew who made this movie. Director Ed Hunt and writer Barry Pearson are the same men who made ""Bloody Birthday"" (guilty pleasure of mine) and ""Plague"". Both those are much better movies and they wisely decided to resign the film industry. The most familiar face in the cast unquestionably is the great David Gale, whom horror fans will worship forever for his role in Re-Animator. A girl named Christine Kossak provides the nudity-factor and she's obviously a great talent She has exactly 3 movies on her repertoire of which THIS is her ""masterpiece"". In her debut, she was credited as 'runaway model' and in ""3 men and a baby"", her character is referred to as 'one of Jack's girls'. I really wonder how she feels about her career as an actress",negative
"WARNING: REVIEW CONTAINS MILD SPOILERS<br /><br />A couple of years back I managed to see the first five films in this franchise, and was planning to do an overview of the whole Elm St. series. However, just two years on and I find I can't remember enough about them in order to do it  I guess they couldn't have made much of an impression. From what I do recall, some of the sequels  Dream Warriors in particular  weren't as bad as is often made out, though even the original was no classic. Generally, the predictability of the premise (if people fall asleep they get murdered in their dreams) doesn't lend itself to narrative tension. But while I cannot recall much of the first five films, I do know they never plumbed the depths of Freddy's Dead.<br /><br />An indication of how sick of Freddy the public was at this point can be judged by the fact that the film was promoted solely on the character's demise. The fact that the movie's conclusion is not even hidden, but in fact the entire purpose for the film's being goes to illustrate how vacant, soulless and cynical this venture was.<br /><br />Taking the morally questionable idea of having a child molester as the charismatic villain, Robert Englund's in-no-way-scary interpretation booms with laughter. I always thought Freddy's mockery of the teenage victims was less aimed at the characters than at the teenage audience that could ever watch this tripe. It's like Englund's crying out ""we know this is garbage  but you're paying to see it, so who's the one laughing?"" And I'm sure victims of child abuse would be disheartened to see such an insensitive depiction of their plight. Was Freddy's appearance in the films always so rudimentary? All he gets to do here is a few ""haaaaaaaaaaaaaarr  har  har  hars"" and that's it. If this was the only Elm St. film you'd ever seen you wouldn't get to know the character at all. Even as the character pre-death in a flashback Englund plays him as a boo-hiss pantomime villain with a slop of Transatlantic (ie. overstated, misplaced and not at all funny) irony.<br /><br />Acting is almost universally poor. Just look at how many times Breckin Meyer overacts with his hand gestures and body language. Only Kananga himself, Yaphet Kotto, keeps his dignity. And when Roseanne, Tom Arnold and Alice Cooper show up, you can almost visibly see the film sinking further into the mire. The script, too, is absolutely lousy, almost wholly without merit. Carlos (Ricky Dean Logan) opens a road map, upon which the Noel Coward-like Freddy has wittily written ""you're f**ked"". When prompted for the map, Carlos responds ""well the map says we're f**ked"". Who wrote the screenplay, Oscar Wilde?<br /><br />Or how about the scene where Carlos is tortured by Freddy, his hearing enhanced to painful levels? So Freddy torments him by threatening to drop a pin  a potentially fatal sound, given that all sounds are magnified. Oddly, the fact that Carlos shouts at the top of his voice for him not to drop it seems to have no effect. ""Nice hearing from you, Carlos"", quips Freddy, hoping some better lines will come along. It's also worth noting that dream sleep doesn't occur instaneously, so being knocked unconscious wouldn't allow instant access into Freddy's world. Though as part of the narrative contains a human computer game and a 3-D finale plot logic isn't that high on the list of requirements.<br /><br />The teenagers heading the cast this time are really the most obnoxious, dislikeable group in the whole series. Tracy (Lezlie Deane) is the only one who gets to greet Freddy with ""shut the f**k up, man"" and a kick in the scallops. And was incongruous pop music always part of the ingredients? Freddy's Dead. No laughs. No scares. No interest. No fun.<br /><br />",negative
"Absolute must see documentary for anyone interested in getting to the bottom of this story. Told with unflinching eye and with gripping style. If you think conspiracy theories are for paranoid disturbed people, this could change your mind. Something for you feds too: A good model for government coverups! If you like your news all tidy and easy to consume this is not for you.",positive
"""Mararía"" really disappointed me. I can't consider it as a bad movie, but the development just seemed too rushed and non-believable for it to evoke any emotions. Dr. Fermín displays some unprecedented bizarre behaviour out of a passion that one can't really understand where it was born from. I mean, how many times does he ever have a conversation with Mararía?? Maybe once? Also, Mararía never appeared to be a real character, instead more like a film stereotype that just needed to be in the movie (...or else another title was needed?). Some of the best acting came from a role that wasn't really important to the story, that of Marcial, the sub-intelligent yet humble drunkard. Of course, the scenery, the cultural tidbits of the Canary Islands, and other ""wow"" moments were interesting, but the movie fell short of a documentary (in case this was its real intention), and most importantly, as a solid drama.",negative
"How do you take a cast of experienced, well-known actors, and put together such a stupid movie? Nimrod Antel has the answer: Armored. Six co-workers at an armored car business decide to steal a large shipment of cash themselves. But, just as they get to first base with their plans, everything unravels quickly. With a plot like this, you'd think it couldn't be too bad, at least for an action movie. However, in the first 40 minutes or more of this movie we see what appear to be 6 normal, everyday kind of guys. They joke, they laugh, have a few drinks together, etc. Then, we suddenly learn they're planning to rob their own business. The hero Ty, (Columbus Short), is sucked into the scheme because of the cold, cruel world, even though he's a decorated veteran, nice guy, and reliable employee. Oh my, oh my! Then in the last 40 minutes of the film, these former regular guys nearly all turn into money-crazed psychos, willing to butcher each other for cash. In the last scenes Mike, (Matt Dillon), goes on a suicidal rampage for no other reason than to kill his former friend. The viewer has no hint before this ending that these men are this ruthless and bloodthirsty. It's utterly unbelievable and ""B movie"" is almost too kind for this sort of cheesy plot. I would say don't waste your time--too bad no one gave Laurence Fishburne, Jean Reno or Fred Ward the same advice before making this picture.",negative
"The sexploitation movie era of the late sixties and early seventies began with the allowance of gratuitous nudity in mainstream films and ended with the legalization of hardcore porn. It's peak years were between 1968 and 1972. One of the most loved and talented actresses of the era was Monica Gayle, who had a small but fanatic cult of followers. She was actually able to act, unlike many who filled the lead roles of these flicks, and her subsequent credits proved it. And her seemingly deliberate fade into obscurity right when her career was taking off only heightens her mystique.<br /><br />Gary Graver, the director, was also a talent; probably too talented for the sexploitation genre, and his skill, combined with Monica Gayle's screen presence, makes Sandra, the Making of a Woman, a pleasantly enjoyable experience. The film never drags and you won't have your finger pressed on the fast-forward button.",positive
